City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,bulawayo,-20.15,28.5833,14.42,29,0,2.66,ZW,1721775075
198,badger,64.8,-147.5333,28.95,40,20,3.09,US,1721775076
199,barroso,-21.1869,-43.9758,14.54,54,0,3.13,BR,1721775077
200,arraial do cabo,-22.9661,-42.0278,18.98,82,0,2.57,BR,1721775078
201,kalevala,65.2,31.1667,15.78,78,12,1.55,RU,1721775079
202,keflavik,64.0049,-22.5624,10.95,100,100,8.23,IS,1721775080
203,ashburton,-37.8626,145.0794,12.83,61,100,2.68,AU,1721775081
204,saint-joseph,-21.3667,55.6167,19.21,78,21,2.75,RE,1721775082
205,huarmey,-10.0681,-78.1522,18.22,79,12,5.47,PE,1721775084
206,siavonga,-16.5382,28.7088,19.28,40,0,1.95,ZM,1721775085
207,pasni,25.2631,63.471,28.0,85,89,3.48,PK,1721775086
208,kenora,49.8167,-94.4337,22.54,53,75,3.6,CA,1721775087
209,slupsk,54.4641,17.0287,13.58,79,78,3.19,PL,1721775088
210,praia da vitoria,38.7333,-27.0667,24.14,83,20,2.51,PT,1721775089
211,lagunas,-5.2269,-75.6753,28.02,63,72,0.6,PE,1721775090
212,ust-nera,64.5667,143.2,21.8,65,89,2.33,RU,1721775091
213,vila franca do campo,37.7167,-25.4333,23.23,85,93,1.85,PT,1721775092
214,kamaishi,39.2667,141.8833,26.28,70,100,3.27,JP,1721775093
215,katsuura,35.1333,140.3,27.39,84,98,7.85,JP,1721775094
216,klyuchi,52.2667,79.1667,20.21,61,37,3.93,RU,1721775096
217,islamkot,24.6997,70.177,28.76,80,74,6.96,PK,1721775097
218,kingscliff,-28.2667,153.5667,16.08,88,33,1.54,AU,1721775099
219,guerrero negro,27.9769,-114.0611,24.83,61,100,7.42,MX,1721775100
220,nadym,65.5333,72.5167,7.46,72,45,4.55,RU,1721775101
221,mount gambier,-37.8333,140.7667,10.76,53,100,5.75,AU,1721775102
222,polyarnyy,69.1989,33.4478,16.49,65,84,5.01,RU,1721775103
223,kargil,34.5667,76.1,12.25,62,50,3.02,IN,1721775104
224,vorgashor,67.5833,63.95,7.17,74,20,3.45,RU,1721775106
225,acapulco de juarez,16.8634,-99.8901,31.9,66,40,3.6,MX,1721775107
226,hereford,52.0568,-2.7148,18.71,89,98,1.14,GB,1721775108
227,korla,41.7597,86.1469,27.15,30,2,2.45,CN,1721775109
228,septemvri,42.2167,24.1,21.46,68,7,2.31,BG,1721775110
229,anori,-3.7728,-61.6442,28.13,44,33,1.39,BR,1721775111
230,nemuro,43.3236,145.575,20.93,86,75,9.56,JP,1721775112
231,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,100,5.0,RU,1721775113
232,lata,40.1629,-8.3327,26.07,54,0,0.63,PT,1721775114
233,tamarin,-20.3256,57.3706,21.96,92,1,3.35,MU,1721775115
234,qaqortoq,60.7167,-46.0333,5.57,95,100,1.01,GL,1721775117
235,makhambet,47.6667,51.5833,25.92,46,82,4.27,KZ,1721775118
236,kimbe,-5.5502,150.1429,28.77,70,89,3.08,PG,1721775119
237,kirakira,-10.4544,161.9205,28.36,79,68,5.48,SB,1721775120
238,hadibu,12.65,54.0333,26.14,81,100,6.4,YE,1721775121
239,jianguang,28.1938,115.7836,30.99,61,8,1.33,CN,1721775122
240,oranjemund,-28.55,16.4333,11.47,84,14,1.48,NA,1721775124
241,taltal,-25.4,-70.4833,15.59,63,0,1.97,CL,1721775126
242,saint-pierre,-21.3393,55.4781,19.82,56,0,4.12,RE,1721775127
243,taoudenni,22.6783,-3.9836,39.73,20,0,3.97,ML,1721775128
244,fort mcmurray,56.7268,-111.381,27.77,54,40,5.14,CA,1721775129
245,tulun,54.5611,100.5792,15.89,96,100,6.18,RU,1721775130
246,uturoa,-16.7333,-151.4333,25.32,71,22,7.64,PF,1721775131
247,rikaze,29.25,88.8833,12.4,80,100,0.15,CN,1721775132
248,puerto lleras,3.0223,-73.4044,23.55,83,96,1.44,CO,1721775133
249,thompson,55.7435,-97.8558,24.09,35,40,3.6,CA,1721775134
250,ulladulla,-35.35,150.4667,12.93,57,100,3.43,AU,1721775136
251,kapoeta,4.7717,33.5903,21.78,88,100,1.73,SS,1721775138
252,tolanaro,-25.0319,46.9987,19.04,94,75,0.0,MG,1721775139
253,odienne,9.51,-7.5692,22.56,96,100,1.89,CI,1721775140
254,palmer,42.1584,-72.3287,23.78,75,100,2.06,US,1721775141
255,calchaqui,-29.8877,-60.287,20.33,62,30,4.56,AR,1721774894
256,gorodoviki,46.1353,41.9656,18.38,90,78,2.48,RU,1721775143
257,goundam,16.4145,-3.6708,32.58,49,92,10.42,ML,1721775145
258,aripuana,-9.1667,-60.6333,25.37,38,3,1.02,BR,1721775146
259,callao,-12.0667,-77.15,20.79,84,68,5.73,PE,1721774987
260,yreka,41.7354,-122.6345,38.6,25,20,1.54,US,1721775148
261,igarka,67.4667,86.5833,10.62,97,100,4.59,RU,1721775149
262,prado,-17.3411,-39.2208,20.86,69,0,3.24,BR,1721775150
263,khark,29.2614,50.3306,34.39,61,3,1.54,IR,1721775151
264,nova sintra,14.8667,-24.7167,24.25,82,97,5.25,CV,1721775152
265,armacao de buzios,-22.7469,-41.8817,21.03,81,0,1.53,BR,1721774904
266,la passe,45.5549,-0.8967,19.13,89,9,3.58,FR,1721775154
267,aberdeen,57.1437,-2.0981,12.52,87,100,2.06,GB,1721774928
268,sitka,57.0531,-135.33,12.94,88,100,2.57,US,1721775157
269,pangai,-19.8,-174.35,26.06,73,20,4.12,TO,1721775158
270,lieksa,63.3167,30.0167,16.26,73,5,1.84,FI,1721775159
271,macheng,31.1783,115.0319,29.57,76,88,1.44,CN,1721775160
272,gaspe,48.8334,-64.4819,20.12,49,20,4.12,CA,1721775162
